Zone,Transport,Station,Passenger,"Date, Time"
5,Bus,Grünerløkka,14906,2025-01-05 09:39 PM
8,Tram,Ullevål Stadion,8011,2025-01-11 08:20 AM
8,Bus,Sinsen,11520,2025-01-21 07:53 AM
6,Train,Lillestrøm,6441,2025-01-08 02:32 PM
8,Metro,Nationaltheatret,7881,2025-01-10 01:02 PM
13,Bus,Grorud,7508,2025-01-05 10:34 PM
19,Train,Sandvika,6427,2025-01-17 01:23 PM
2,Metro,Furuset,8526,2025-01-05 05:08 PM
6,Bus,Sinsen,3019,2025-01-11 09:10 AM
2,Bus,Grünerløkka,673,2025-01-07 04:04 PM
11,Metro,Nationaltheatret,11929,2025-01-13 08:23 PM
16,Tram,Røa,1961,2025-01-10 04:15 PM
18,Train,Lillestrøm,842,2025-01-08 10:14 PM
9,Train,Oslo S,14443,2025-01-18 02:10 PM
19,Metro,Jernbanetorget,4288,2025-01-18 11:34 AM
14,Train,Sandvika,8999,2025-01-31 10:24 PM
19,Bus,Grorud,1144,2025-01-24 09:06 AM
6,Tram,Røa,9799,2025-01-08 06:48 AM
14,Metro,Furuset,3775,2025-01-24 08:37 AM
15,Tram,Majorstuen,11852,2025-01-05 06:30 AM
13,Train,Lillestrøm,6418,2025-01-21 07:30 PM
7,Train,Sandvika,11003,2025-01-04 10:57 PM
8,Metro,Nationaltheatret,3707,2025-01-09 06:24 AM
3,Bus,Sinsen,2425,2025-01-15 12:18 PM
16,Bus,Grorud,6813,2025-01-31 04:42 PM
20,Metro,Jernbanetorget,5063,2025-01-31 09:20 PM
6,Bus,Sinsen,10230,2025-01-28 05:38 PM
11,Metro,Nationaltheatret,8182,2025-01-19 09:52 PM
12,Metro,Jernbanetorget,12878,2025-01-27 01:27 PM
2,Tram,Tøyen,12324,2025-01-14 08:31 PM
8,Tram,Tøyen,831,2025-01-11 06:39 PM
3,Train,Oslo S,8490,2025-01-30 08:54 AM
8,Train,Skøyen,14233,2025-01-13 11:18 AM
12,Metro,Storo,10780,2025-01-25 06:35 AM
6,Tram,Røa,7070,2025-01-13 07:35 PM
19,Bus,Sinsen,12297,2025-01-20 10:17 PM
11,Train,Lillestrøm,7606,2025-01-26 07:44 AM
7,Tram,Majorstuen,5639,2025-01-12 10:53 AM
3,Tram,Ullevål Stadion,8261,2025-01-18 02:31 PM
4,Metro,Nationaltheatret,5725,2025-01-25 08:09 PM
2,Tram,Tøyen,4020,2025-01-25 11:36 AM
20,Train,Sandvika,7881,2025-01-01 10:27 PM
4,Metro,Nationaltheatret,14397,2025-01-06 03:31 PM
20,Train,Lillestrøm,2631,2025-01-22 07:35 AM
5,Tram,Tøyen,12529,2025-01-18 09:12 AM
8,Bus,Lambertseter,13903,2025-01-05 09:50 PM
18,Tram,Tøyen,11939,2025-01-27 06:22 PM
14,Train,Skøyen,10363,2025-01-14 05:09 PM
3,Bus,Grorud,5556,2025-01-21 02:27 PM
6,Tram,Røa,13311,2025-01-27 03:28 PM
6,Tram,Røa,10994,2025-01-14 09:15 PM
6,Metro,Furuset,3100,2025-01-27 09:08 PM
18,Bus,Bislett,5964,2025-01-26 02:49 PM
11,Metro,Storo,11753,2025-01-19 06:49 AM
16,Tram,Tøyen,12570,2025-01-29 04:16 PM
11,Metro,Storo,9464,2025-01-02 10:27 PM
10,Metro,Storo,13321,2025-01-07 09:00 PM
15,Bus,Helsfyr,12065,2025-01-17 10:37 PM
9,Tram,Majorstuen,1413,2025-01-19 07:08 AM
17,Bus,Bislett,9074,2025-01-13 04:18 PM
11,Tram,Røa,1029,2025-01-26 08:58 PM
7,Tram,Tøyen,12772,2025-01-21 06:20 PM
15,Tram,Ullevål Stadion,6001,2025-01-21 07:20 PM
12,Tram,Majorstuen,14430,2025-01-22 07:01 AM
12,Train,Lillestrøm,8224,2025-01-22 12:09 PM
1,Train,Skøyen,4588,2025-01-04 02:30 PM
3,Tram,Tøyen,2280,2025-01-03 10:36 AM
18,Train,Skøyen,13454,2025-01-25 01:33 PM
10,Train,Sandvika,14613,2025-01-09 10:53 PM
5,Metro,Jernbanetorget,7046,2025-01-13 08:38 PM
7,Tram,Ullevål Stadion,10136,2025-01-27 08:50 AM
9,Tram,Majorstuen,13049,2025-01-06 08:30 AM
15,Metro,Furuset,13387,2025-01-08 09:03 AM
16,Tram,Røa,14658,2025-01-24 07:30 AM
14,Train,Sandvika,5761,2025-01-21 02:49 PM
10,Bus,Grorud,3023,2025-01-11 07:50 AM
10,Bus,Helsfyr,9711,2025-01-16 08:10 PM
18,Bus,Sinsen,8706,2025-01-26 10:15 AM
8,Train,Skøyen,7927,2025-01-22 09:00 AM
3,Bus,Grorud,7354,2025-01-30 10:27 AM
4,Metro,Nationaltheatret,1987,2025-01-02 05:58 PM
14,Tram,Majorstuen,3136,2025-01-08 04:28 PM
10,Train,Sandvika,3962,2025-01-14 11:35 AM
5,Train,Lillestrøm,2812,2025-01-14 06:12 PM
4,Bus,Grünerløkka,2241,2025-01-21 10:57 AM
11,Bus,Sinsen,9538,2025-01-25 01:38 PM
9,Metro,Jernbanetorget,4750,2025-01-05 04:51 PM
3,Bus,Helsfyr,14618,2025-01-14 10:06 AM
6,Bus,Sinsen,4548,2025-01-15 09:32 PM
4,Metro,Jernbanetorget,11611,2025-01-07 10:54 PM
17,Tram,Stortinget,2645,2025-01-03 06:37 PM
18,Tram,Majorstuen,13000,2025-01-20 08:47 PM
1,Tram,Ullevål Stadion,12958,2025-01-18 10:04 AM
9,Metro,Storo,6151,2025-01-31 10:46 AM
6,Bus,Helsfyr,8635,2025-01-25 10:41 PM
3,Tram,Tøyen,13239,2025-01-24 11:53 AM
1,Metro,Storo,4397,2025-01-26 07:12 AM
17,Tram,Tøyen,10413,2025-01-22 09:13 AM
3,Bus,Bislett,9444,2025-01-21 03:18 PM
20,Bus,Grorud,751,2025-01-12 07:26 PM
12,Train,Skøyen,12527,2025-01-04 09:18 AM
19,Metro,Nationaltheatret,2242,2025-01-12 04:47 PM
7,Metro,Storo,10997,2025-01-29 03:31 PM
1,Bus,Lambertseter,7645,2025-01-04 10:37 AM
1,Tram,Stortinget,2951,2025-01-15 02:20 PM
19,Bus,Sinsen,5253,2025-01-07 01:54 PM
20,Tram,Stortinget,1601,2025-01-05 11:17 AM
12,Tram,Røa,694,2025-01-22 01:22 PM
20,Bus,Grorud,11087,2025-01-11 05:28 PM
3,Bus,Helsfyr,14528,2025-01-21 07:46 AM
20,Bus,Helsfyr,5507,2025-01-27 02:58 PM
4,Bus,Lambertseter,5807,2025-01-27 07:09 PM
13,Train,Lillestrøm,5192,2025-01-11 10:21 AM
4,Metro,Jernbanetorget,8984,2025-01-01 01:41 PM
6,Train,Oslo S,9439,2025-01-27 10:14 AM
7,Metro,Jernbanetorget,13565,2025-01-01 10:10 AM
4,Train,Skøyen,9949,2025-01-19 04:51 PM
7,Bus,Sinsen,8062,2025-01-08 12:12 PM
2,Bus,Grünerløkka,3530,2025-01-27 09:12 PM
20,Train,Lillestrøm,9404,2025-01-30 08:49 PM
4,Tram,Tøyen,2556,2025-01-01 08:27 PM
3,Tram,Stortinget,3648,2025-01-02 11:37 AM
20,Tram,Stortinget,2375,2025-01-30 09:07 AM
11,Metro,Furuset,12467,2025-01-05 08:22 PM
6,Tram,Majorstuen,12878,2025-01-22 06:19 PM
2,Bus,Lambertseter,1006,2025-01-05 08:55 PM
6,Metro,Storo,4478,2025-01-31 03:02 PM
8,Tram,Tøyen,3490,2025-01-16 02:02 PM
19,Train,Sandvika,13046,2025-01-16 10:48 PM
2,Metro,Nationaltheatret,7531,2025-01-22 09:05 AM
5,Bus,Sinsen,1327,2025-01-19 02:46 PM
3,Metro,Storo,5712,2025-01-07 09:06 AM
8,Train,Sandvika,8599,2025-01-06 06:25 AM
7,Metro,Nationaltheatret,4853,2025-01-10 10:27 AM
1,Train,Oslo S,8554,2025-01-03 04:56 PM
14,Metro,Nationaltheatret,3218,2025-01-28 08:58 AM
2,Bus,Helsfyr,3771,2025-01-26 12:39 PM
18,Bus,Grünerløkka,4893,2025-01-19 09:26 PM
4,Train,Lillestrøm,10887,2025-01-10 10:41 PM
2,Tram,Ullevål Stadion,6500,2025-01-19 11:15 AM
2,Train,Sandvika,11501,2025-01-11 06:51 AM
16,Metro,Storo,12825,2025-01-29 07:24 PM
3,Metro,Storo,2621,2025-01-27 11:11 AM
8,Bus,Bislett,5000,2025-01-04 01:53 PM
20,Bus,Lambertseter,10936,2025-01-12 09:39 PM
12,Bus,Bislett,10021,2025-01-16 09:12 PM
12,Bus,Lambertseter,8363,2025-01-30 04:51 PM
16,Tram,Røa,2310,2025-01-26 12:10 PM
13,Bus,Grünerløkka,12503,2025-01-22 02:36 PM
19,Train,Lillestrøm,7370,2025-01-22 07:31 PM
14,Train,Skøyen,10119,2025-01-21 09:41 AM
18,Metro,Nationaltheatret,11220,2025-01-27 06:15 AM
17,Metro,Jernbanetorget,11620,2025-01-14 11:14 AM
10,Train,Lillestrøm,5074,2025-01-16 05:49 PM
2,Train,Lillestrøm,6177,2025-01-10 09:11 PM
19,Tram,Ullevål Stadion,2497,2025-01-05 10:44 PM
12,Metro,Nationaltheatret,9685,2025-01-07 10:38 AM
20,Bus,Sinsen,11110,2025-01-17 06:57 AM
1,Tram,Stortinget,2855,2025-01-27 10:24 AM
8,Metro,Furuset,5599,2025-01-08 05:04 PM
11,Metro,Jernbanetorget,4430,2025-01-03 01:24 PM
7,Bus,Bislett,12181,2025-01-16 09:29 PM
17,Bus,Bislett,523,2025-01-25 06:06 PM
4,Train,Lillestrøm,11335,2025-01-12 04:27 PM
16,Tram,Majorstuen,12733,2025-01-05 07:25 PM
11,Train,Sandvika,9266,2025-01-01 07:51 AM
5,Tram,Stortinget,4381,2025-01-09 02:07 PM
16,Tram,Majorstuen,13410,2025-01-19 06:34 PM
1,Bus,Grorud,14740,2025-01-14 09:47 AM
15,Metro,Nationaltheatret,4500,2025-01-12 09:44 PM
20,Train,Oslo S,11103,2025-01-04 11:20 AM
9,Bus,Grünerløkka,1517,2025-01-17 09:46 PM
10,Metro,Jernbanetorget,3713,2025-01-16 07:10 PM
16,Train,Skøyen,13200,2025-01-28 09:03 PM
1,Train,Oslo S,984,2025-01-11 06:00 AM
4,Tram,Tøyen,10207,2025-01-21 05:16 PM
11,Train,Lillestrøm,561,2025-01-20 02:28 PM
14,Metro,Storo,5445,2025-01-15 07:33 AM
6,Metro,Jernbanetorget,10688,2025-01-09 09:33 PM
17,Tram,Stortinget,8353,2025-01-21 04:15 PM
15,Train,Oslo S,7011,2025-01-26 01:33 PM
6,Train,Oslo S,2426,2025-01-31 07:06 PM
2,Train,Skøyen,12139,2025-01-14 09:41 AM
3,Bus,Grünerløkka,2121,2025-01-29 11:35 AM
3,Metro,Nationaltheatret,13368,2025-01-14 10:12 AM
14,Bus,Helsfyr,6399,2025-01-05 10:40 PM
13,Tram,Majorstuen,1049,2025-01-02 03:17 PM
12,Train,Lillestrøm,13190,2025-01-06 09:21 AM
6,Train,Skøyen,3579,2025-01-16 04:18 PM
7,Train,Lillestrøm,8657,2025-01-26 08:00 PM
17,Metro,Jernbanetorget,5590,2025-01-04 12:01 PM
9,Metro,Nationaltheatret,14954,2025-01-27 07:11 PM
13,Tram,Majorstuen,5776,2025-01-08 06:32 PM
7,Bus,Bislett,12490,2025-01-21 09:07 AM
17,Tram,Majorstuen,4606,2025-01-07 11:14 AM
14,Train,Sandvika,13401,2025-01-24 04:47 PM
15,Train,Sandvika,13117,2025-01-22 07:48 PM
13,Metro,Jernbanetorget,6212,2025-01-19 12:04 PM
5,Tram,Majorstuen,11210,2025-01-21 10:13 AM
4,Train,Lillestrøm,7887,2025-01-16 09:52 PM
19,Bus,Bislett,4379,2025-01-10 12:01 PM
7,Bus,Grünerløkka,4005,2025-01-03 04:10 PM
7,Tram,Tøyen,5803,2025-01-29 08:04 AM
20,Metro,Nationaltheatret,10621,2025-01-04 07:47 AM
4,Train,Sandvika,3441,2025-01-06 11:44 AM
2,Tram,Røa,9217,2025-01-27 08:02 AM
9,Bus,Helsfyr,5745,2025-01-15 08:04 AM
16,Bus,Grünerløkka,12501,2025-01-15 01:43 PM
14,Bus,Bislett,12542,2025-01-08 06:02 AM
2,Tram,Røa,1739,2025-01-22 01:12 PM
18,Bus,Lambertseter,13978,2025-01-24 07:11 PM
18,Metro,Storo,9115,2025-01-26 06:48 AM
19,Train,Skøyen,4558,2025-01-10 08:29 AM
20,Tram,Tøyen,11995,2025-01-15 08:26 AM
13,Tram,Ullevål Stadion,2926,2025-01-26 06:34 AM
6,Tram,Tøyen,7886,2025-01-29 06:07 PM
3,Bus,Grünerløkka,1935,2025-01-01 06:16 AM
10,Train,Lillestrøm,8978,2025-01-15 07:08 PM
9,Train,Skøyen,12819,2025-01-06 10:25 AM
20,Train,Sandvika,7204,2025-01-17 02:37 PM
1,Metro,Furuset,6623,2025-01-17 03:25 PM
8,Metro,Nationaltheatret,7265,2025-01-27 07:37 AM
8,Metro,Jernbanetorget,722,2025-01-17 06:38 PM
13,Bus,Grünerløkka,1276,2025-01-11 06:35 AM
13,Bus,Grünerløkka,11698,2025-01-19 11:02 AM
14,Metro,Furuset,4691,2025-01-23 12:37 PM
13,Bus,Bislett,11679,2025-01-18 06:44 AM
5,Tram,Røa,6718,2025-01-14 11:27 AM
17,Bus,Sinsen,4476,2025-01-23 07:24 AM
19,Train,Skøyen,8992,2025-01-29 08:47 AM
14,Tram,Tøyen,5842,2025-01-11 06:59 AM
13,Bus,Sinsen,4784,2025-01-10 06:01 PM
4,Bus,Sinsen,12460,2025-01-12 07:54 AM
8,Metro,Nationaltheatret,13326,2025-01-16 07:17 PM
18,Tram,Stortinget,14510,2025-01-15 07:24 PM
1,Bus,Grorud,5975,2025-01-16 06:36 AM
3,Bus,Bislett,7580,2025-01-08 02:40 PM
14,Tram,Stortinget,2261,2025-01-11 07:53 AM
4,Tram,Røa,11843,2025-01-12 02:18 PM
17,Metro,Jernbanetorget,13432,2025-01-22 06:33 AM
10,Metro,Jernbanetorget,8942,2025-01-18 09:23 AM
20,Train,Skøyen,11726,2025-01-06 09:50 PM
17,Bus,Grünerløkka,5811,2025-01-21 07:22 AM
4,Metro,Jernbanetorget,10607,2025-01-23 01:48 PM
11,Metro,Jernbanetorget,5566,2025-01-06 11:58 AM
15,Bus,Grünerløkka,13805,2025-01-26 10:14 PM
20,Bus,Grorud,13900,2025-01-19 08:15 PM
19,Train,Oslo S,12021,2025-01-07 10:40 AM
11,Bus,Lambertseter,1202,2025-01-20 06:48 PM
4,Tram,Stortinget,2292,2025-01-19 07:24 PM
13,Metro,Furuset,4001,2025-01-24 08:06 PM
12,Bus,Sinsen,10661,2025-01-22 10:53 AM
1,Metro,Storo,6072,2025-01-12 01:13 PM
9,Bus,Sinsen,9369,2025-01-30 10:47 PM
9,Metro,Jernbanetorget,5236,2025-01-19 04:47 PM
9,Train,Sandvika,14314,2025-01-07 07:11 PM
19,Bus,Sinsen,12747,2025-01-05 09:45 PM
13,Metro,Jernbanetorget,11466,2025-01-30 12:48 PM
1,Metro,Jernbanetorget,7280,2025-01-29 10:27 AM
13,Tram,Røa,8171,2025-01-29 08:15 AM
18,Train,Oslo S,4589,2025-01-15 10:26 PM
10,Bus,Helsfyr,11657,2025-01-21 01:27 PM
16,Metro,Nationaltheatret,8412,2025-01-26 07:16 PM
1,Metro,Furuset,13982,2025-01-20 10:20 AM
20,Train,Skøyen,7070,2025-01-21 06:13 PM
11,Train,Lillestrøm,3897,2025-01-29 07:32 AM
12,Metro,Nationaltheatret,7379,2025-01-15 03:37 PM
18,Tram,Stortinget,2088,2025-01-22 11:36 AM
17,Tram,Tøyen,9611,2025-01-09 07:57 AM
13,Metro,Nationaltheatret,10636,2025-01-30 04:23 PM
12,Bus,Lambertseter,2367,2025-01-23 06:12 PM
3,Bus,Helsfyr,5683,2025-01-10 09:27 AM
15,Metro,Furuset,5803,2025-01-14 08:27 PM
6,Metro,Storo,8491,2025-01-07 09:43 PM
19,Tram,Majorstuen,1436,2025-01-24 09:42 AM
18,Tram,Ullevål Stadion,13929,2025-01-30 02:21 PM
15,Bus,Sinsen,544,2025-01-01 12:34 PM
2,Metro,Jernbanetorget,7808,2025-01-25 03:16 PM
10,Tram,Stortinget,6126,2025-01-01 05:20 PM
4,Bus,Sinsen,13211,2025-01-13 10:42 PM
13,Train,Lillestrøm,14938,2025-01-25 05:56 PM
9,Bus,Grorud,14023,2025-01-08 08:18 AM
10,Metro,Jernbanetorget,3845,2025-01-08 04:17 PM
3,Tram,Stortinget,13368,2025-01-20 07:16 AM
13,Metro,Storo,1103,2025-01-18 01:23 PM
2,Train,Sandvika,8019,2025-01-27 10:51 AM
18,Tram,Tøyen,4052,2025-01-08 09:11 AM
5,Tram,Ullevål Stadion,5568,2025-01-12 02:06 PM
10,Train,Sandvika,8990,2025-01-27 12:36 PM
2,Bus,Lambertseter,9047,2025-01-18 11:47 AM
2,Tram,Tøyen,5459,2025-01-18 02:02 PM
11,Metro,Storo,11389,2025-01-15 09:21 PM
17,Train,Sandvika,12583,2025-01-09 02:41 PM
10,Train,Lillestrøm,5957,2025-01-05 12:53 PM
20,Tram,Ullevål Stadion,8086,2025-01-29 10:22 PM
1,Metro,Storo,3057,2025-01-04 10:22 AM
2,Bus,Sinsen,10791,2025-01-02 02:32 PM
2,Tram,Ullevål Stadion,6404,2025-01-03 08:40 AM
16,Bus,Sinsen,9062,2025-01-08 01:37 PM
10,Train,Skøyen,8509,2025-01-13 03:20 PM
13,Metro,Jernbanetorget,6363,2025-01-10 10:12 AM
7,Train,Oslo S,13584,2025-01-17 08:21 PM
9,Train,Oslo S,1893,2025-01-18 02:33 PM
11,Train,Lillestrøm,9198,2025-01-23 06:31 PM
14,Metro,Furuset,3646,2025-01-16 10:39 AM
14,Train,Sandvika,1391,2025-01-29 07:10 AM
12,Bus,Bislett,6270,2025-01-01 08:26 AM
18,Tram,Stortinget,7175,2025-01-16 02:07 PM
1,Metro,Nationaltheatret,3835,2025-01-28 08:49 PM
17,Tram,Ullevål Stadion,2031,2025-01-01 09:42 AM
18,Tram,Røa,11865,2025-01-22 10:36 PM
4,Metro,Jernbanetorget,7681,2025-01-21 07:41 AM
2,Bus,Grorud,9466,2025-01-24 06:10 PM
20,Bus,Helsfyr,12319,2025-01-30 04:53 PM
16,Train,Oslo S,13840,2025-01-25 03:40 PM
11,Train,Oslo S,6863,2025-01-09 11:31 AM
17,Train,Skøyen,727,2025-01-29 09:32 AM
12,Metro,Jernbanetorget,1421,2025-01-25 11:13 AM
6,Tram,Tøyen,9710,2025-01-18 01:25 PM
6,Metro,Furuset,2688,2025-01-04 02:30 PM
15,Tram,Stortinget,766,2025-01-13 09:16 AM
8,Metro,Storo,14481,2025-01-31 09:48 AM
11,Train,Skøyen,3533,2025-01-11 10:02 AM
10,Train,Skøyen,4750,2025-01-24 11:55 AM
15,Metro,Nationaltheatret,5962,2025-01-25 08:02 PM
16,Metro,Jernbanetorget,12855,2025-01-11 10:55 PM
2,Metro,Storo,3860,2025-01-19 08:58 AM
12,Train,Lillestrøm,9677,2025-01-08 06:58 PM
12,Bus,Helsfyr,11801,2025-01-13 02:28 PM
18,Bus,Grünerløkka,7825,2025-01-28 05:04 PM
12,Tram,Majorstuen,13497,2025-01-15 03:39 PM
18,Bus,Sinsen,13879,2025-01-17 01:31 PM
19,Metro,Nationaltheatret,6757,2025-01-06 02:57 PM
18,Metro,Nationaltheatret,11665,2025-01-25 01:28 PM
20,Bus,Lambertseter,10798,2025-01-21 12:16 PM
8,Bus,Sinsen,9262,2025-01-28 11:28 AM
1,Train,Oslo S,13789,2025-01-18 10:04 AM
3,Bus,Grünerløkka,7720,2025-01-29 08:33 PM
1,Metro,Jernbanetorget,12960,2025-01-07 09:25 PM
13,Metro,Furuset,608,2025-01-31 12:37 PM
1,Metro,Storo,10896,2025-01-27 08:10 AM
4,Train,Lillestrøm,14442,2025-01-04 12:22 PM
5,Metro,Storo,7229,2025-01-04 04:51 PM
17,Bus,Lambertseter,4768,2025-01-04 10:59 AM
5,Tram,Røa,12944,2025-01-01 07:47 AM
15,Bus,Grünerløkka,5451,2025-01-06 12:50 PM
12,Train,Oslo S,1009,2025-01-07 10:53 AM
17,Bus,Bislett,1270,2025-01-13 07:05 PM
3,Bus,Bislett,500,2025-01-29 07:57 PM
4,Train,Sandvika,11253,2025-01-17 02:23 PM
4,Train,Skøyen,14279,2025-01-22 06:52 PM
1,Train,Oslo S,13294,2025-01-30 09:43 AM
14,Train,Lillestrøm,14063,2025-01-13 07:27 AM
7,Tram,Majorstuen,10772,2025-01-11 06:04 AM
12,Tram,Røa,4545,2025-01-18 08:05 PM
17,Metro,Storo,11602,2025-01-02 08:08 AM
9,Metro,Jernbanetorget,5591,2025-01-09 10:43 PM
10,Tram,Røa,3018,2025-01-08 11:28 AM
14,Train,Skøyen,6095,2025-01-25 12:11 PM
18,Train,Lillestrøm,7216,2025-01-06 10:52 PM
2,Train,Lillestrøm,2106,2025-01-27 09:45 PM
12,Train,Sandvika,10368,2025-01-16 10:39 AM
16,Train,Lillestrøm,4890,2025-01-05 06:10 AM
15,Metro,Jernbanetorget,3783,2025-01-21 10:57 PM
15,Metro,Nationaltheatret,9431,2025-01-10 03:29 PM
18,Metro,Furuset,6589,2025-01-06 01:36 PM
19,Bus,Sinsen,5960,2025-01-24 07:22 AM
2,Tram,Tøyen,7969,2025-01-26 06:39 AM
13,Train,Sandvika,8009,2025-01-08 03:44 PM
7,Bus,Sinsen,12319,2025-01-15 07:25 PM
8,Bus,Grünerløkka,4452,2025-01-02 09:14 PM
19,Metro,Furuset,8178,2025-01-30 09:13 AM
20,Tram,Røa,950,2025-01-04 09:49 AM
12,Metro,Storo,13208,2025-01-15 06:00 AM
7,Bus,Bislett,7992,2025-01-15 09:34 PM
2,Train,Sandvika,6201,2025-01-13 02:30 PM
10,Metro,Nationaltheatret,6114,2025-01-31 03:10 PM
9,Train,Skøyen,14083,2025-01-22 05:50 PM
10,Train,Skøyen,1939,2025-01-02 11:19 AM
4,Bus,Helsfyr,4122,2025-01-07 10:45 PM
13,Bus,Sinsen,6762,2025-01-25 06:34 PM
4,Tram,Stortinget,12113,2025-01-16 09:23 PM
14,Bus,Helsfyr,13523,2025-01-06 01:54 PM
5,Bus,Grünerløkka,3742,2025-01-23 03:30 PM
3,Train,Lillestrøm,8985,2025-01-01 03:14 PM
10,Bus,Grünerløkka,14354,2025-01-06 06:19 PM
19,Metro,Nationaltheatret,727,2025-01-28 10:46 PM
14,Bus,Lambertseter,7911,2025-01-24 08:13 AM
17,Bus,Helsfyr,5943,2025-01-05 09:10 PM
6,Bus,Lambertseter,10038,2025-01-14 03:27 PM
5,Tram,Røa,1762,2025-01-21 06:59 AM
2,Tram,Stortinget,1596,2025-01-11 12:07 PM
20,Bus,Grorud,13767,2025-01-04 03:51 PM
3,Metro,Storo,13196,2025-01-31 02:23 PM
3,Train,Lillestrøm,12156,2025-01-04 06:54 AM
15,Tram,Røa,3586,2025-01-18 10:50 AM
9,Tram,Ullevål Stadion,7553,2025-01-21 03:50 PM
16,Train,Sandvika,1556,2025-01-02 10:37 PM
16,Bus,Lambertseter,6832,2025-01-25 11:03 AM
3,Tram,Ullevål Stadion,3431,2025-01-02 09:33 AM
14,Bus,Sinsen,13459,2025-01-08 09:30 AM
13,Tram,Ullevål Stadion,5077,2025-01-23 06:13 PM
15,Bus,Helsfyr,12713,2025-01-09 09:57 AM
4,Tram,Røa,11402,2025-01-25 05:52 PM
16,Metro,Nationaltheatret,9125,2025-01-16 09:09 AM
17,Metro,Furuset,6440,2025-01-25 08:55 PM
5,Tram,Majorstuen,8672,2025-01-29 12:30 PM
5,Metro,Nationaltheatret,10658,2025-01-25 04:32 PM
13,Tram,Majorstuen,6793,2025-01-20 06:18 PM
10,Train,Oslo S,10085,2025-01-05 03:12 PM
7,Bus,Sinsen,4424,2025-01-27 07:25 PM
12,Metro,Jernbanetorget,8013,2025-01-05 04:55 PM
15,Metro,Nationaltheatret,14525,2025-01-09 12:59 PM
13,Bus,Grünerløkka,4313,2025-01-21 10:33 PM
5,Tram,Røa,6418,2025-01-27 11:51 AM
13,Tram,Tøyen,1151,2025-01-22 02:41 PM
3,Metro,Storo,11586,2025-01-06 09:14 AM
3,Tram,Røa,8065,2025-01-15 09:08 AM
14,Bus,Bislett,11638,2025-01-08 06:25 AM
14,Tram,Tøyen,12340,2025-01-29 11:07 AM
7,Tram,Tøyen,14567,2025-01-05 06:45 AM
8,Train,Skøyen,5732,2025-01-01 06:12 AM
12,Metro,Storo,9413,2025-01-21 07:54 AM
8,Metro,Furuset,7277,2025-01-20 01:49 PM
15,Train,Sandvika,8147,2025-01-22 09:04 PM
15,Tram,Stortinget,11137,2025-01-30 06:13 AM
2,Metro,Nationaltheatret,2831,2025-01-20 06:06 PM
16,Tram,Ullevål Stadion,14832,2025-01-19 06:49 AM
11,Bus,Bislett,2562,2025-01-21 05:43 PM
12,Tram,Røa,7910,2025-01-16 06:23 AM
7,Bus,Bislett,7076,2025-01-20 06:56 PM
11,Tram,Røa,14526,2025-01-12 03:53 PM
9,Tram,Ullevål Stadion,14157,2025-01-25 06:59 AM
4,Metro,Furuset,3304,2025-01-23 02:49 PM
12,Tram,Ullevål Stadion,1251,2025-01-20 07:03 AM
7,Metro,Jernbanetorget,8301,2025-01-18 08:17 PM
4,Metro,Furuset,1549,2025-01-16 07:50 AM
20,Train,Sandvika,548,2025-01-04 04:17 PM
2,Metro,Furuset,6408,2025-01-04 10:35 PM
3,Bus,Helsfyr,6086,2025-01-14 05:52 PM
12,Bus,Bislett,9656,2025-01-25 08:59 PM
10,Metro,Furuset,14813,2025-01-30 03:18 PM
17,Train,Lillestrøm,4025,2025-01-28 07:37 PM
17,Train,Lillestrøm,2884,2025-01-19 01:36 PM
11,Bus,Bislett,6047,2025-01-09 08:04 AM
6,Metro,Furuset,3385,2025-01-17 04:55 PM
7,Bus,Lambertseter,11781,2025-01-20 10:01 AM
5,Bus,Grorud,5364,2025-01-07 04:13 PM
1,Train,Oslo S,6426,2025-01-15 09:30 PM
10,Tram,Majorstuen,2574,2025-01-29 06:00 PM
20,Metro,Furuset,2606,2025-01-29 12:36 PM
14,Train,Sandvika,5825,2025-01-29 09:02 PM
8,Metro,Nationaltheatret,2594,2025-01-29 07:53 PM
16,Tram,Røa,5377,2025-01-16 10:29 AM
13,Tram,Ullevål Stadion,10021,2025-01-31 10:50 PM
6,Train,Sandvika,13115,2025-01-07 07:02 PM
18,Tram,Ullevål Stadion,1587,2025-01-04 03:54 PM
8,Metro,Storo,9853,2025-01-25 02:51 PM
1,Train,Oslo S,13394,2025-01-13 11:05 AM
6,Tram,Røa,2947,2025-01-16 09:29 PM
6,Train,Lillestrøm,1633,2025-01-03 12:25 PM
3,Bus,Lambertseter,4659,2025-01-31 08:24 PM
16,Tram,Majorstuen,14849,2025-01-25 09:16 AM
13,Bus,Lambertseter,13930,2025-01-20 11:35 AM
17,Bus,Grünerløkka,6324,2025-01-22 05:52 PM
9,Tram,Stortinget,3193,2025-01-11 09:58 PM
14,Metro,Jernbanetorget,9957,2025-01-15 11:42 AM
11,Metro,Storo,3768,2025-01-27 11:10 AM
19,Metro,Furuset,3698,2025-01-09 04:38 PM
19,Tram,Ullevål Stadion,7373,2025-01-24 07:34 AM
16,Tram,Stortinget,8187,2025-01-06 02:34 PM
6,Bus,Sinsen,5019,2025-01-06 08:42 AM
16,Tram,Stortinget,5348,2025-01-11 07:49 PM
12,Metro,Furuset,14885,2025-01-24 11:23 AM
4,Bus,Bislett,7148,2025-01-23 09:28 AM
11,Tram,Tøyen,8350,2025-01-26 03:15 PM
